罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所の属性,被害者の性別,被害者の年齢,現金被害の有無
窃盗,ひったくり,相模原南,相模大野駅前,141534,神奈川県,相模原市南区,相模大野５丁目,2018-02-09,20,道路上,男性,10歳代,なし
窃盗,ひったくり,相模原南,東林間,141534,神奈川県,相模原市南区,上鶴間７丁目,2018-09-08,23,道路上,女性,50歳代,あり
窃盗,ひったくり,相模原南,新磯野,141534,神奈川県,相模原市南区,相模台団地,2018-09-30,17,道路上,女性,30歳代,なし
窃盗,ひったくり,相模原南,相南,141534,神奈川県,相模原市南区,相南１丁目,2018-09-27,23,道路上,女性,70歳以上,あり
窃盗,ひったくり,相模原南,相南,141534,神奈川県,相模原市南区,相南３丁目,2018-07-02,19,道路上,女性,50歳代,あり
窃盗,ひったくり,座間,相模が丘,142166,神奈川県,座間市,相模が丘５丁目,2018-02-05,11,道路上,女性,60-64歳,あり
窃盗,ひったくり,座間,栗原,142166,神奈川県,座間市,さがみ野１丁目,2018-04-09,18,道路上,女性,30歳代,なし
窃盗,ひったくり,座間,ひばりが丘,142166,神奈川県,座間市,ひばりが丘１丁目,2018-02-21,20,道路上,女性,65-69歳,あり
窃盗,ひったくり,海老名,国分寺台,142158,神奈川県,海老名市,浜田町,2018-05-04,23,道路上,女性,20歳代,なし
窃盗,ひったくり,相模原北,橋本駅前,141518,神奈川県,相模原市緑区,橋本３丁目,2018-04-19,09,道路上,女性,70歳以上,あり
窃盗,ひったくり,相模原北,橋本駅前,141518,神奈川県,相模原市緑区,橋本４丁目,2018-01-18,11,道路上,女性,70歳以上,あり
窃盗,ひったくり,相模原北,橋本駅前,141518,神奈川県,相模原市緑区,橋本４丁目,2018-02-01,11,道路上,女性,70歳以上,あり
窃盗,ひったくり,相模原北,橋本駅前,141518,神奈川県,相模原市緑区,橋本４丁目,2018-07-07,21,道路上,女性,40歳代,なし
窃盗,ひったくり,相模原北,橋本駅前,141518,神奈川県,相模原市緑区,東橋本１丁目,2018-06-19,21,道路上,女性,20歳代,あり
窃盗,ひったくり,相模原北,橋本駅前,141518,神奈川県,相模原市緑区,東橋本２丁目,2018-10-13,23,道路上,女性,10歳代,あり
窃盗,ひったくり,相模原北,橋本五差路,141518,神奈川県,相模原市緑区,西橋本３丁目,2018-04-21,21,道路上,女性,20歳代,なし
窃盗,ひったくり,相模原北,相原,141518,神奈川県,相模原市緑区,相原３丁目,2018-07-07,21,道路上,女性,40歳代,あり
窃盗,ひったくり,相模原北,下九沢,141518,神奈川県,相模原市緑区,上九沢,2018-09-07,20,道路上,女性,40歳代,あり
窃盗,ひったくり,相模原北,下九沢,141518,神奈川県,相模原市緑区,下九沢,2018-09-14,19,道路上,女性,40歳代,あり
窃盗,ひったくり,相模原北,下九沢,141518,神奈川県,相模原市緑区,下九沢,2018-09-17,19,道路上,女性,40歳代,あり
